OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
55,0.684579015,0,0,25.13090909,386.8181818,10119424,438,426000,0,4,15,5064.510557,342,5069.393636,0.004714676,-0.637430746,-0.770507653,0.64278761,0.766044443,0,1,8.530210213,8.531173734,0.002961787,9,-81.09090909
56,0.683430016,0,0,23.53333333,385,10096896,222,426000,13,13,15,10374.70117,341,10374.85833,0.004280607,-0.017815513,0.999841291,0.5,0.866025404,0,1,9.247221925,9.247237072,0.001445825,9,-91.5
57,0.642316997,0,0,15.13,397.25,10121472,755,636664,0,4,24,4381.778555,339,4383.875,1.11E-17,-0.253903985,-0.967229428,-0.342020143,0.939692621,1,0,8.385438176,8.385916398,0.005477228,9,-95.125
58,0.639867008,0,0,24.72857143,402.7142857,10121472,755,636664,0,4,24,2900.735137,336,2903.557857,-5.83E-18,0.759952389,-0.649978743,-0.342020143,0.939692621,1,0,7.97306416,7.974036457,0.008273765,9,-93.21428571
59,0.644922972,0,0,25.53727273,398.1818182,10121472,364,630000,6,6,24,4018.453584,331,4020.585455,-6.13E-17,-0.404235348,-0.914655008,0.173648178,-0.984807753,1,0,8.298901248,8.299431496,0.005972447,9,-95.90909091
60,0.673272014,0,0,27.48888889,396,10121472,364,630000,6,6,24,5530.221946,320,5531.416667,-9.85E-18,-0.856208817,0.516629907,0.173648178,-0.984807753,1,0,8.618164037,8.618380009,0.00433979,9,-99.11111111
61,0.698315024,0,0,28.28,393.25,10121472,364,630000,6,6,24,6032.887093,304,6033.735,-1.21E-17,-0.46388823,0.885893735,0.173648178,-0.984807753,1,0,8.705146708,8.705287222,0.003978195,9,-100.5
62,0.699609995,0,0,20.2825,395.25,10121472,364,630000,6,6,24,6046.254434,288,6047.133333,-3.73E-17,-0.467680645,0.883897514,0.173648178,-0.984807753,1,0,8.707359635,8.707504963,0.0039694,9,-99.25
63,0.632269979,0,0,20.452,396.1,10121472,364,630000,6,6,24,6062.343712,275,6063.235,-1.82E-17,-0.470790419,0.88224508,0.173648178,-0.984807753,1,0,8.710016695,8.71016368,0.003958865,9,-98.4
64,0.550059974,0,0,29.34,386.75,10121472,364,630000,6,6,24,4970.351566,269,4971.2475,2.56E-17,-0.999012129,0.044438337,0.173648178,-0.984807753,1,0,8.511447027,8.51162723,0.004828632,9,-96.25
